100,0,0.004613482,0.4,778,ch to bs,,,,,,
96,85,0.000121664,0.4,774,data cm to ch,,,,,,
87,85,0.005026842,0.4,765,ch to bs,,,,,,
83,3,0.004634899,0.4,756,ch to bs,,,,,,
100,79,0.005768996,0.4,665,ch to bs,,,,,,
100,86,0.005358164,0.4,683,ch to bs,,,,,,
95,98,3.91E-06,0.4,792,cch,cch,,,,,
92,91,3.39E-06,0.4,787,cch recive each,cch anno,cch,cch,cch,cch,
97,85,0.004497779,0.4,727,ch to bs,,,,,,
86,1,0.006446931,0.4,653,ch to bs,,,,,,
96,99,0.007303075,0.4,785,ch to bs,,,,,,
99,2,0.008588892,0.4,791,ch to bs,,,,,,
97,11,0.00796157,0.4,797,ch to bs,,,,,,
99,97,0.008743354,0.4,691,ch to bs,,,,,,
100,2,0.000212263,0.4,720,data cm to ch,,,,,,
97,28,0.004854933,0.4,809,ch to bs,,,,,,
97,97,0.007993885,0.4,751,ch to bs,,,,,,
94,8,0.003079039,0.4,749,ch to bs,,,,,,
97,94,0.005290695,0.4,729,ch to bs,,,,,,
93,100,0.006752225,0.4,789,ch to bs,,,,,,
97,70,0.006330539,0.4,740,ch to bs,,,,,,
95,86,0.006115283,0.4,797,ch to bs,,,,,,
99,55,0.00052368,0.4,759,ch to bs,,,,,,
90,8,0.006808029,0.4,726,ch to bs,,,,,,
99,1,0.009024569,0.4,757,ch to bs,,,,,,
100,88,0.008800404,0.4,738,ch to bs,,,,,,
94,7,0.003602858,0.4,764,ch to bs,,,,,,
97,86,0.007660533,0.4,775,ch to bs,,,,,,
96,3,0.005216673,0.4,751,ch to bs,,,,,,
97,15,0.006175265,0.4,889,ch to bs,,,,,,
100,97,0.005429428,0.4,724,ch to bs,,,,,,
95,95,0.008305087,0.4,774,ch to bs,,,,,,
99,90,0.005458852,0.4,809,ch to bs,,,,,,
96,78,0.00381024,0.4,851,ch to bs,,,,,,
98,4,9.17E-05,0.4,754,data cm to ch,,,,,,
99,86,0.00560827,0.4,786,ch to bs,,,,,,
98,47,6.45E-06,0.4,738,cch,,,,,,
100,1,0.008878507,0.4,714,ch to bs,,,,,,
93,13,2.62E-05,0.4,810,data cm to ch,,,,,,
99,1,0.008660876,0.4,753,ch to bs,,,,,,
88,3,0.002747426,0.4,659,ch to bs,,,,,,
96,6,8.39E-06,0.4,705,cch anno,cch,cch,,,,
98,99,0.006659948,0.4,795,ch to bs,,,,,,
96,100,8.97E-06,0.4,710,cch anno,cch anno,cch anno,cch anno,cch,cch,cch
88,0,0.006564892,0.4,898,ch to bs,,,,,,
100,3,0.005559675,0.4,587,ch to bs,,,,,,
94,10,0.002160511,0.4,906,ch to bs,,,,,,
90,100,0.007696197,0.4,777,ch to bs,,,,,,
91,100,0.0018279,0.4,805,ch to bs,,,,,,
94,78,0.006254309,0.4,837,ch to bs,,,,,,
