1,7,"[68.0, 96.0, 0.9999100000000004, 0.1]",,,
1,1,"[36.0, 13.0, 0.9999300000000003, 0.1]",,,
1,7,"[65.0, 90.0, 0.9999100000000004, 0.1]",,,
1,12,"[62.0, 63.0, 0.9998600000000006, 0.1]",,,
1,1,"[45.0, 29.0, 0.9998900000000005, 0.1]",,,
1,12,"[50.0, 66.0, 0.9998700000000006, 0.1]",,,
1,4,"[96.0, 1.0, 0.9999300000000003, 0.1]",,,
1,14,"[83.0, 25.0, 0.9999000000000005, 0.1]",,,
1,1,"[4.0, 57.0, 0.9999400000000003, 0.1]",,,
1,2,"[9.0, 76.0, 0.9999400000000003, 0.1]",,,
1,11,"[74.0, 59.0, 0.9998600000000006, 0.1]",,,
1,2,"[22.0, 63.0, 0.9999200000000004, 0.1]",,,
1,1,"[43.0, 19.0, 0.9999100000000004, 0.1]",,,
1,1,"[48.0, 41.0, 0.9998500000000007, 0.1]",,,
1,12,"[64.0, 81.0, 0.9998800000000005, 0.1]",,,
1,0,"[15.0, 4.0, 0.9999700000000001, 0.1]",,,
1,1,"[29.0, 48.0, 0.9999000000000005, 0.1]",,,
1,6,"[91.0, 91.0, 0.9999200000000004, 0.1]",,,
1,14,"[99.0, 26.0, 0.9999100000000004, 0.1]",,,
1,12,"[60.0, 67.0, 0.9998700000000006, 0.1]",,,
1,14,"[96.0, 32.0, 0.9999100000000004, 0.1]",,,
1,6,"[82.0, 76.0, 0.9998900000000005, 0.1]",,,
1,6,"[90.0, 78.0, 0.9998900000000005, 0.1]",,,
1,13,"[82.0, 64.0, 0.9998700000000006, 0.1]",,,
1,11,"[73.0, 43.0, 0.9998700000000006, 0.1]",,,
1,8,"[73.0, 26.0, 0.9999000000000005, 0.1]",,,
1,0,"[6.0, 2.0, 0.9999800000000001, 0.1]",,,
1,2,"[19.0, 80.0, 0.9999400000000003, 0.1]",,,
1,7,"[63.0, 100.0, 0.9999100000000004, 0.1]",,,
1,4,"[85.0, 10.0, 0.9999200000000004, 0.1]",,,
1,6,"[92.0, 79.0, 0.9999000000000005, 0.1]",,,
1,10,"[42.0, 73.0, 0.9998900000000005, 0.1]",,,
1,0,"[4.0, 6.0, 0.9999800000000001, 0.1]",,,
1,8,"[74.0, 15.0, 0.9999100000000004, 0.1]",,,
1,8,"[57.0, 30.0, 0.9998800000000005, 0.1]",,,
1,1,"[32.0, 42.0, 0.9999000000000005, 0.1]",,,
1,8,"[73.0, 3.0, 0.9999200000000004, 0.1]",,,
1,6,"[85.0, 83.0, 0.9999100000000004, 0.1]",,,
1,4,"[97.0, 5.0, 0.9999300000000003, 0.1]",,,
1,11,"[82.0, 53.0, 0.9998700000000006, 0.1]",,,
1,14,"[94.0, 32.0, 0.9999000000000005, 0.1]",,,
1,14,"[81.0, 28.0, 0.9999000000000005, 0.1]",,,
1,1,"[27.0, 18.0, 0.9999082000000004, 0.1]",,,
2,0,"[6.0, 14.0, 0.9977406306936656, 0.1]",,,
2,1,"[30.0, 34.0, 0.9952676706936658, 0.1]",,,
2,2,"[18.0, 89.0, 0.9946768694936656, 0.1]",,,
2,3,"[40.0, 98.0, 0.9937144891256654, 0.1]",,,
2,4,"[88.0, 8.0, 0.9958035972216656, 0.1]",,,
2,5,"[99.0, 61.0, 0.9909533754616654, 0.1]",,,
2,6,"[94.0, 82.0, 0.9859084578936657, 0.1]",,,
2,7,"[70.0, 97.0, 0.9885020316056656, 0.1]",,,
2,8,"[70.0, 17.0, 0.9967223506936658, 0.1]",,,
2,9,"[93.0, 19.0, 0.9952332658936655, 0.1]",,,
2,10,"[46.0, 92.0, 0.9939469634936655, 0.1]",,,
2,11,"[80.0, 48.0, 0.9944834491256657, 0.1]",,,
2,12,"[65.0, 72.0, 0.9936705052056657, 0.1]",,,
2,13,"[87.0, 63.0, 0.9923298893816656, 0.1]",,,
