77.0,100.0,0.009467878622981886,0.1,923.0,ch to bs
99.0,47.0,0.0062210735896908766,0.1,1086.0,ch to bs
100.0,83.0,0.00020028271232786968,0.1,971.0,data cm to ch
84.0,99.0,0.011334891218666295,0.1,913.0,ch to bs
100.0,88.0,0.005931603388998463,0.1,1019.0,ch to bs
74.0,93.0,0.008851261908678064,0.1,1071.0,ch to bs
57.0,95.0,0.00012281132901104246,0.1,1068.0,data cm to ch
84.0,78.0,0.00010165553403028142,0.1,997.0,data cm to ch
88.0,94.0,0.010630860921319563,0.1,1016.0,ch to bs
97.0,76.0,3.773889599092555e-05,0.1,1036.0,data cm to ch
86.0,78.0,0.004501736415018058,0.1,1062.0,ch to bs
64.0,97.0,2.0573670666994956e-05,0.1,1065.0,data cm to ch
90.0,92.0,0.012240954120331141,0.1,928.0,ch to bs
74.0,89.0,1.2745775002804945e-05,0.1,1021.0,data cm to ch
83.0,75.0,0.002601407263023478,0.1,998.0,ch to bs
98.0,92.0,0.010453546135328475,0.1,981.0,ch to bs
93.0,80.0,0.008897870303007026,0.1,994.0,ch to bs
95.0,87.0,0.00023945319232961687,0.1,977.0,data cm to ch
90.0,96.0,0.0001344930153293951,0.1,972.0,data cm to ch
69.0,94.0,0.004793623776999387,0.1,959.0,ch to bs
100.0,88.0,0.008730070423333514,0.1,955.0,ch to bs
90.0,95.0,0.01171205774667075,0.1,1033.0,ch to bs
92.0,96.0,4.26152403153801e-05,0.1,1113.0,data cm to ch
68.0,98.0,0.009086627238659582,0.1,1016.0,ch to bs
96.0,97.0,0.00010482497199524696,0.1,984.0,data cm to ch
91.0,61.0,0.0023252357770184853,0.1,1023.0,ch to bs
97.0,81.0,0.01094627793399712,0.1,1007.0,ch to bs
98.0,62.0,0.008392904170335157,0.1,1035.0,ch to bs
99.0,70.0,0.004379505748667041,0.1,947.0,ch to bs
79.0,100.0,0.00506045014298892,0.1,902.0,ch to bs
97.0,96.0,0.0001718663593165055,0.1,1005.0,data cm to ch
90.0,98.0,0.012195023217670757,0.1,941.0,ch to bs
97.0,73.0,7.48543933361105e-05,0.1,999.0,data cm to ch
87.0,87.0,0.006795723705334078,0.1,979.0,ch to bs
91.0,94.0,0.012878935560324049,0.1,1029.0,ch to bs
98.0,94.0,0.015132634865657493,0.1,956.0,ch to bs
92.0,90.0,0.012862179863341122,0.1,1010.0,ch to bs
95.0,71.0,0.00014236028332912905,0.1,980.0,data cm to ch
96.0,99.0,0.0027315680786598436,0.1,607.0,ch to bs
95.0,88.0,0.009997543097985595,0.1,686.0,ch to bs
98.0,90.0,0.023066984760997722,0.1,633.0,ch to bs
86.0,95.0,8.169173978869242e-06,0.1,1196.0,cch recive each
95.0,56.0,0.004978479747994202,0.1,1120.0,ch to bs
99.0,19.0,0.00019411961331918797,0.1,1127.0,data cm to ch
85.0,5.0,0.0028657002326609726,0.1,1202.0,ch to bs
99.0,64.0,0.005833544183658905,0.1,1156.0,ch to bs
99.0,99.0,0.007233838860319003,0.1,1088.0,ch to bs
95.0,42.0,0.0051037528049965,0.1,1131.0,ch to bs
90.0,19.0,0.0021052017196780447,0.1,1138.0,ch to bs
92.0,2.0,8.946336496320502e-05,0.1,1043.0,data cm to ch
98.0,2.0,-0.0004627549730214785,0.1,1243.0,ch to bs
96.0,56.0,0.00011589308335906368,0.1,1051.0,data cm to ch
93.0,2.0,4.109373320429902e-06,0.1,1058.0,data cm to ch
92.0,88.0,0.0013777785836681026,0.1,1134.0,ch to bs
96.0,100.0,0.006723116262650096,0.1,1118.0,ch to bs
93.0,32.0,4.2083050252893786e-06,0.1,1154.0,cch
98.0,18.0,0.007094236503663585,0.1,1129.0,ch to bs
80.0,50.0,0.0003041402327349065,0.1,1255.0,ch to bs
99.0,7.0,6.685566235103023e-07,0.1,1299.0,cch
86.0,10.0,0.002949106233686871,0.1,1287.0,ch to bs
100.0,41.0,0.004440968165015646,0.1,1303.0,ch to bs
90.0,42.0,0.001369482576369338,0.1,1273.0,ch to bs
100.0,18.0,0.002426952479328697,0.1,1264.0,ch to bs
98.0,65.0,0.00011483167099742998,0.1,1275.0,data cm to ch
91.0,99.0,0.00014560079166907203,0.1,1256.0,data cm to ch
92.0,56.0,0.003234598845373097,0.1,1238.0,ch to bs
90.0,60.0,0.00310703231371121,0.1,1273.0,ch to bs
95.0,0.0,0.00016593202494881353,0.1,0.0,data cm to ch
91.0,49.0,9.741670920748375e-08,0.1,0.0,cch,cch,cch
91.0,7.0,0.00013283012632978706,0.1,0.0,data cm to ch
97.0,85.0,0.00010401236833006673,0.1,0.0,data cm to ch
90.0,29.0,0.002662017794034667,0.1,0.0,ch to bs
97.0,15.0,0.0037777102053257305,0.1,0.0,ch to bs
99.0,40.0,4.354555203524617e-05,0.1,0.0,data cm to ch
98.0,50.0,0.006722458662683945,0.1,0.0,ch to bs
100.0,89.0,1.0278373105774424e-06,0.1,0.0,cch
