27,54,1.30E-05,0.9,data cm to ch,,,,,,,,,,,,,,
24,48,0.002804792,0.3,merge pkt ,,,,,,,,,,,,,,
34,35,0.011127131,0.78,ch send optimize,,,,,,,,,,,,,,
99,7,0.007037082,0.15,ch to bs,,,,,,,,,,,,,,
32,58,0.165644238,0,ch send optimize,,,,,,,,,,,,,,
31,51,0.000178117,0.41,data cm to ch,,,,,,,,,,,,,,
96,2,0.005315707,0.1,ch to bs,,,,,,,,,,,,,,
32,52,0.003031964,0.46,ch send optimize,,,,,,,,,,,,,,
99,33,0.005921838,0.19,ch to bs,,,,,,,,,,,,,,
19,62,2.49E-06,0.56,cch anno,cch anno,cch anno,cch recive each,cch anno,cch recive each,cch recive each,cch recive each,cch recive each,,,,,,
100,5,4.05E-05,0.13,data cm to ch,,,,,,,,,,,,,,
25,44,0.003483862,0.6,merge pkt ,,,,,,,,,,,,,,
44,50,0.160878999,0.01,ch send optimize,,,,,,,,,,,,,,
22,55,9.47E-06,0.86,cch anno,cch anno,cch anno,cch anno,cch recive each,cch recive each,cch recive each,cch recive each,,,,,,,
99,94,0.00611316,0.27,ch to bs,,,,,,,,,,,,,,
30,53,0.000213321,0.25,data cm to ch,,,,,,,,,,,,,,
37,36,0.004361304,0.44,merge pkt ,,,,,,,,,,,,,,
25,53,0.00243789,0.26,merge pkt ,,,,,,,,,,,,,,
29,35,6.38E-05,0.8,data cm to ch,,,,,,,,,,,,,,
22,43,5.97E-05,0.47,data cm to ch,,,,,,,,,,,,,,
97,4,0.008630807,0.1,ch to bs,,,,,,,,,,,,,,
27,62,0.001975535,0.35,ch recive out of energy ,,,,,,,,,,,,,,
96,13,0.006566997,0.5,ch to bs,,,,,,,,,,,,,,
22,63,0.187270092,0.11,ch send optimize,,,,,,,,,,,,,,
39.0,38.0,0.13329745974680787,0.24,ch send optimize
38.0,53.0,5.622329617547169e-05,0.5,data cm to ch
25.0,45.0,0.0010072719440648748,0.15,merge pkt 
40.0,58.0,0.001319061827814059,0.19,merge pkt 
98.0,39.0,0.0019328191806625705,0.29,ch to bs
97.0,55.0,0.0069886528186645595,0.33,ch to bs
99.0,42.0,0.001878756431365447,0.2,merge pkt ,ch to bs
95.0,87.0,6.456384163718872e-05,0.25,data cm to ch
42.0,43.0,0.0026670233771469353,0.57,merge pkt 
36.0,48.0,0.00018842521516822253,0.4,ch to bs
97.0,91.0,0.002660202399640904,0.2,ch to bs
38.0,70.0,0.003573186070783711,0.4,merge pkt 
98.0,88.0,0.004461404775288386,0.27,ch to bs
85.0,21.0,0.33367730395507506,0.0,ch send optimize
93.0,18.0,0.00514942973798273,0.16,ch to bs
44.0,35.0,0.000139991088455457,0.27,merge pkt 
6.0,61.0,1.380241960715703e-05,0.26,data cm to ch
