86.0,23.0,0.18905721736612993,0.2782999999999998,5.0,70.0,10
100.0,48.0,4.4787196662135615e-06,0.14530000000000004,9.0,14.0,4
97.0,90.0,0.020909402043397435,0.1368999999999992,6.0,70.0,12
99.0,2.0,0.00018443267411788594,0.12020000000000046,15.0,96.0,9
96.0,3.0,0.020469796348739633,0.13630000000000017,7.0,61.0,12
92.0,100.0,0.01494372194506994,0.11900000000000037,19.0,79.0,12
99.0,84.0,0.005964293803444777,0.12270000000000066,19.0,105.0,12
95.0,10.0,0.01881450970439161,0.14939999999999964,1.0,22.0,12
100.0,7.0,0.01705982206842329,0.11870000000000046,9.0,124.0,12
99.0,90.0,0.02634276779339648,0.12420000000000068,5.0,3.0,12
