6.0,22.0,2.9999782,0.1,8.0,11.0
57.0,65.0,2.9999782,0.1,14.0,13.0
83.0,87.0,2.9999682,0.1,13.0,23.0
65.0,12.0,2.9999882,0.1,9.0,36.0
29.0,95.0,2.9999882,0.1,6.0,55.0
99.0,61.0,2.9999882,0.1,7.0,89.0
8.0,60.0,2.9999782,0.1,8.0,125.0

25.0,78.0,2.9999782,0.1,18.0,3.0
40.0,24.0,2.9999482,0.1,16.0,4.0
14.0,46.0,2.9999782,0.1,2.0,23.0
70.0,35.0,2.9999682,0.1,2.0,43.0
87.0,0.0,2.9999682,0.1,18.0,58.0
57.0,98.0,2.9999882,0.1,7.0,66.0
80.0,71.0,2.9999882,0.1,3.0,70.0

48.0,4.0,2.9999782,0.1,15.0,1.0
80.0,94.0,2.9999782,0.1,11.0,7.0
47.0,77.0,2.9999782,0.1,11.0,20.0
91.0,27.0,2.9999882,0.1,7.0,45.0
6.0,8.0,2.9999882,0.1,6.0,66.0
34.0,41.0,2.9999782,0.1,11.0,84.0
100.0,61.0,2.9999782,0.1,15.0,93.0

39.0,58.0,2.9999882,0.1,4.0,1.0
41.0,12.0,2.9999782,0.1,3.0,23.0
69.0,46.0,2.9999782,0.1,3.0,26.0
4.0,71.0,2.9999882,0.1,12.0,52.0
82.0,16.0,2.9999782,0.1,6.0,113.0

