A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1
5.9000000000000004e-05,0.00013000000000000002,9.144653167389282e-05,0.003810000000000009,0.0013631219999999996,0.0012000000000000025,6.8188e-05,0.0023500000000000053,0.027262440000000006,0.023999999999999966,6.25e-07,0.020099005692
7.08e-05,8e-05,0.00010973583800867139,0.003770000000000009,0.0013303740000000011,0.0011900000000000025,7.7264e-05,0.0017300000000000039,0.02660748,0.023799999999999967,6.249999999999999e-07,0.055062739112000006
5.9000000000000004e-05,7.000000000000001e-05,9.144653167389282e-05,0.003690000000000009,0.0013423659999999998,0.0012000000000000025,6.451200000000001e-05,0.001770000000000004,0.02684732,0.023999999999999966,6.25e-07,0.05089641534800001
8.26e-05,0.0002,0.00012802514434344996,0.004759999999999974,0.0012784839999999999,0.0011800000000000024,8.542200000000001e-05,0.0016700000000000037,0.025569679999999997,0.023599999999999968,6.249999999999999e-07,0.07753500986
5.9000000000000004e-05,8e-05,9.144653167389282e-05,0.0031300000000000073,0.0013196080000000005,0.0012000000000000025,6.294800000000001e-05,0.0014400000000000031,0.02639215999999999,0.023999999999999966,6.249999999999999e-07,0.06379434252
5.9000000000000004e-05,9e-05,9.144653167389282e-05,0.003300000000000008,0.0013265540000000002,0.0012000000000000025,6.308e-05,0.0015700000000000035,0.02653107999999999,0.023999999999999966,6.25e-07,0.031969283852
7.08e-05,0.00011,0.00010973583800867139,0.004199999999999997,0.0012809860000000005,0.0011900000000000025,7.107e-05,0.0015000000000000033,0.025619720000000012,0.023799999999999967,6.25e-07,0.059278202156000014
7.08e-05,0.00025,0.00010973583800867139,0.004409999999999989,0.0012966540000000002,0.0011900000000000025,7.191000000000001e-05,0.0016800000000000038,0.025933080000000015,0.023799999999999967,6.25e-07,0.075733582812
7.08e-05,4e-05,0.00010973583800867139,0.003910000000000009,0.001291372,0.0011900000000000025,7.519800000000001e-05,0.0016400000000000037,0.025827439999999997,0.023799999999999967,6.249999999999999e-07,0.061393690128
7.08e-05,0.00016,0.00010973583800867139,0.004299999999999993,0.001302048000000001,0.0011900000000000025,7.382000000000001e-05,0.0017300000000000039,0.026040960000000002,0.023799999999999967,6.25e-07,0.042160915164
5.9000000000000004e-05,8e-05,9.144653167389282e-05,0.0036500000000000087,0.0013152899999999998,0.0012000000000000025,6.333e-05,0.0016500000000000037,0.0263058,0.023999999999999966,6.249999999999999e-07,0.030591537611999998
5.9000000000000004e-05,0.0001,9.144653167389282e-05,0.003940000000000008,0.0013122719999999995,0.0012000000000000025,6.173000000000001e-05,0.0016900000000000038,0.02624544,0.023999999999999966,6.25e-07,0.028661973559999998
4.72e-05,6e-05,7.315722533911426e-05,0.0032100000000000076,0.0013840599999999997,0.0012100000000000025,5.6402000000000006e-05,0.0019500000000000045,0.0276812,0.024199999999999965,6.249999999999999e-07,0.028116238871999995
5.9000000000000004e-05,7.000000000000001e-05,9.144653167389282e-05,0.0035400000000000084,0.001324004,0.0012000000000000025,6.398600000000001e-05,0.001750000000000004,0.026480080000000013,0.023999999999999966,6.249999999999999e-07,0.051908745524
5.9000000000000004e-05,0.00014000000000000001,9.144653167389282e-05,0.0036000000000000086,0.0013442220000000002,0.0012000000000000025,6.562e-05,0.0019300000000000044,0.026884440000000006,0.023999999999999966,6.249999999999999e-07,0.022368198696
7.08e-05,0.00034000000000000024,0.00010973583800867139,0.004669999999999978,0.001314102,0.0011900000000000025,7.5776e-05,0.0020900000000000046,0.02628204,0.023799999999999967,6.25e-07,0.050879600204
5.9000000000000004e-05,0.00016,9.144653167389282e-05,0.0035700000000000085,0.0013129819999999992,0.0012000000000000025,6.230600000000001e-05,0.0015500000000000034,0.02625963999999999,0.023999999999999966,6.249999999999999e-07,0.044939266748
8.26e-05,0.00023,0.00012802514434344996,0.00534999999999995,0.0012563700000000001,0.0011800000000000024,8.128000000000001e-05,0.0015700000000000035,0.025127399999999987,0.023599999999999968,6.25e-07,0.07432169424800002
8.26e-05,0.00013000000000000002,0.00012802514434344996,0.005089999999999961,0.0012684239999999998,0.0011800000000000024,8.361999999999999e-05,0.0017200000000000039,0.02536848,0.023599999999999968,6.25e-07,0.08866159208
5.9000000000000004e-05,6e-05,9.144653167389282e-05,0.003380000000000008,0.0013472799999999993,0.0012000000000000025,6.8052e-05,0.0018400000000000042,0.02694559999999999,0.023999999999999966,6.25e-07,0.055106665964000004
5.9000000000000004e-05,6e-05,9.144653167389282e-05,0.0035500000000000084,0.0013093460000000005,0.0012000000000000025,6.1204e-05,0.0015300000000000034,0.026186920000000006,0.023999999999999966,6.25e-07,0.056573680968
7.08e-05,0.00017,0.00010973583800867139,0.00437999999999999,0.0013098600000000001,0.0011900000000000025,7.5232e-05,0.0018500000000000042,0.02619719999999999,0.023799999999999967,6.249999999999999e-07,0.075304154228
7.08e-05,0.0002800000000000001,0.00010973583800867139,0.0042399999999999955,0.0013375120000000006,0.0011900000000000025,8.176400000000001e-05,0.0023300000000000052,0.026750239999999995,0.023799999999999967,6.249999999999999e-07,0.054315642007999994
3.54e-05,0.0001,5.48679190043357e-05,0.002680000000000006,0.0014104940000000009,0.0012200000000000025,4.3432e-05,0.0018800000000000043,0.02820987999999999,0.024399999999999963,6.249999999999999e-07,0.027390052848
4.72e-05,0.00013000000000000002,7.315722533911426e-05,0.0032400000000000076,0.00138415,0.0012100000000000025,5.654999999999999e-05,0.002200000000000005,0.027682999999999996,0.024199999999999965,6.249999999999999e-07,0.048876517008000005
8.26e-05,0.00019,0.00012802514434344996,0.005279999999999953,0.0012456119999999999,0.0011800000000000024,8.0324e-05,0.001420000000000003,0.02491224,0.023599999999999968,6.249999999999999e-07,0.062210997468
8.26e-05,0.0002,0.00012802514434344996,0.005429999999999947,0.0012900259999999995,0.0011800000000000024,8.633200000000001e-05,0.0023500000000000053,0.025800519999999993,0.023599999999999968,6.25e-07,0.038089249167999994
5.9000000000000004e-05,0.00015000000000000001,9.144653167389282e-05,0.0036500000000000087,0.0013224920000000002,0.0012000000000000025,6.5384e-05,0.0019000000000000043,0.026449839999999995,0.023999999999999966,6.249999999999999e-07,0.063092724668
5.9000000000000004e-05,0.0001,9.144653167389282e-05,0.0035800000000000085,0.0013416880000000006,0.0012000000000000025,6.8564e-05,0.0021500000000000048,0.02683375999999999,0.023999999999999966,6.249999999999999e-07,0.035334314975999995
7.08e-05,3.0000000000000004e-05,0.00010973583800867139,0.004249999999999995,0.0013012439999999996,0.0011900000000000025,7.58e-05,0.0018400000000000042,0.02602488,0.023799999999999967,6.25e-07,0.04682733624800001
4.72e-05,8e-05,7.315722533911426e-05,0.003310000000000008,0.0013906539999999998,0.0012100000000000025,6.0382e-05,0.0024600000000000056,0.027813079999999997,0.024199999999999965,6.249999999999999e-07,0.045416552760000006
7.08e-05,0.00021,0.00010973583800867139,0.004489999999999985,0.0013142260000000004,0.0011900000000000025,7.687400000000001e-05,0.0023700000000000053,0.026284520000000002,0.023799999999999967,6.25e-07,0.047235555592
9.44e-05,0.00015000000000000001,0.00014631445067822852,0.0056399999999999385,0.001237326,0.0011700000000000024,9.097e-05,0.0015200000000000033,0.024746519999999998,0.02339999999999997,6.25e-07,0.06975561708800002
7.08e-05,0.00018,0.00010973583800867139,0.003980000000000006,0.0013063040000000003,0.0011900000000000025,7.416200000000001e-05,0.0015800000000000035,0.026126080000000006,0.023799999999999967,6.25e-07,0.060023913252
4.72e-05,0.00011,7.315722533911426e-05,0.003010000000000007,0.001395954,0.0012000000000000025,5.6616e-05,0.0019100000000000044,0.02811912,0.024199999999999965,6.2e-07,0.030412883768
7.08e-05,0.00021,0.00010973583800867139,0.004529999999999984,0.0012915559999999997,0.0011900000000000025,7.361e-05,0.0016100000000000036,0.025831119999999996,0.023799999999999967,6.249999999999999e-07,0.06634926719600001
7.08e-05,0.00030000000000000014,0.00010973583800867139,0.004269999999999994,0.001306964,0.0011900000000000025,7.342e-05,0.0018400000000000042,0.026139279999999997,0.023799999999999967,6.25e-07,0.076960090848
5.9000000000000004e-05,0.0001,9.144653167389282e-05,0.0039000000000000094,0.001333838,0.0012000000000000025,6.548e-05,0.0019300000000000044,0.02667676000000001,0.023999999999999966,6.25e-07,0.041789485776
5.9000000000000004e-05,0.00011,9.144653167389282e-05,0.004030000000000004,0.0014010040000000002,0.0012000000000000025,7.112000000000001e-05,0.0025100000000000057,0.028020079999999992,0.023999999999999966,6.25e-07,0.05746638020400001
7.08e-05,0.00014000000000000001,0.00010973583800867139,0.004409999999999989,0.0012917399999999998,0.0011900000000000025,7.374600000000001e-05,0.0017100000000000038,0.025834800000000005,0.023799999999999967,6.249999999999999e-07,0.064955832296
7.08e-05,0.00013000000000000002,0.00010973583800867139,0.004539999999999983,0.0013669359999999994,0.0011900000000000025,8.035600000000001e-05,0.0023800000000000054,0.027338719999999997,0.023799999999999967,6.25e-07,0.057967527804
7.08e-05,0.00024,0.00010973583800867139,0.004389999999999989,0.0013025220000000004,0.0011900000000000025,7.5956e-05,0.0019500000000000045,0.026050440000000005,0.023799999999999967,6.25e-07,0.068903257596
8.26e-05,0.0002900000000000001,0.00012802514434344996,0.004659999999999978,0.0012624420000000001,0.0011800000000000024,8.150199999999999e-05,0.0015300000000000034,0.02524883999999999,0.023599999999999968,6.25e-07,0.07463098333200001
5.9000000000000004e-05,6e-05,9.144653167389282e-05,0.003730000000000009,0.0013129959999999997,0.0012000000000000025,6.382000000000001e-05,0.001760000000000004,0.026259920000000003,0.023999999999999966,6.249999999999999e-07,0.030754127623999997
7.08e-05,0.00013000000000000002,0.00010973583800867139,0.0039700000000000065,0.0013443119999999996,0.0011900000000000025,8.013599999999999e-05,0.0023500000000000053,0.026886240000000006,0.023799999999999967,6.249999999999999e-07,0.07031253081200001
7.08e-05,0.00021,0.00010973583800867139,0.004549999999999983,0.0012996139999999995,0.0011900000000000025,7.3818e-05,0.0018500000000000042,0.02599228000000001,0.023799999999999967,6.249999999999999e-07,0.041971039088000005
7.08e-05,0.00014000000000000001,0.00010973583800867139,0.003700000000000009,0.0013204519999999997,0.0011900000000000025,7.7124e-05,0.0016600000000000037,0.026409039999999998,0.023799999999999967,6.250000000000002e-07,0.078039836736
8.26e-05,0.00034000000000000024,0.00012802514434344996,0.0050999999999999605,0.0012542659999999998,0.0011800000000000024,8.0274e-05,0.0015300000000000034,0.025085320000000015,0.023599999999999968,6.25e-07,0.072294225116
5.9000000000000004e-05,0.00012,9.144653167389282e-05,0.004000000000000005,0.0013111699999999993,0.0012000000000000025,6.472400000000001e-05,0.0020400000000000045,0.026223400000000015,0.023999999999999966,6.25e-07,0.044017004784000016
5.9000000000000004e-05,0.00014000000000000001,9.144653167389282e-05,0.004030000000000004,0.0013241280000000004,0.0012000000000000025,6.3898e-05,0.0019600000000000043,0.02648255999999999,0.023999999999999966,6.25e-07,0.032947177028
7.08e-05,0.0001,0.00010973583800867139,0.004479999999999986,0.0012773780000000007,0.0011900000000000025,7.0406e-05,0.0016400000000000037,0.02554755999999999,0.023799999999999967,6.249999999999999e-07,0.043029630544000004
