0.2,1055
0.2,1256
0.2,1306
0.2,1069
0.2,1165
0.2,1667
0.2,1580
0.2,1399
0.2,1196
0.2,1694
0.2,1152
0.2,757
0.2,1158
0.2,1049
0.2,1028
0.2,1571
0.2,887
0.2,832
0.2,1103
0.2,723
0.2,621
0.2,910
0.2,1110
0.2,1194
0.2,834
0.2,1017
0.2,942
0.2,1032
0.2,1251
0.2,1150
0.2,1331
0.2,1225
0.2,976
0.2,920
0.2,924
0.2,961
0.2,1043
0.2,1161
0.2,1040
0.2,909
0.2,1190
0.2,1072
0.2,1114
0.2,1509
0.2,745
0.2,1094
0.2,1385
0.2,793
0.2,1342
0.2,1464
0.2,898
0.2,1438
0.2,1365
0.2,883
0.2,1377
0.2,1050
0.2,1468
0.2,862
0.2,1261
0.2,1296
0.2,1222
0.2,1162
0.2,1582
0.2,1226
0.2,830
0.2,1003
0.2,1691
0.2,1037
0.2,1093
0.2,1068
0.2,893
0.2,753
0.2,1041
0.2,654
0.2,1061
0.2,1095
0.2,1391
0.2,1587
0.2,1199
0.2,1258
0.2,1146
0.2,1158
0.2,967
0.2,1120
0.2,1236
0.2,1606
0.2,1257
0.2,774
0.2,836
0.2,611
0.2,1420
0.2,1179
0.2,1527
0.2,1389
0.2,1427
0.2,1508
0.2,1006
0.2,1403
0.2,1040
0.2,1347
0.2,1196
0.2,874
0.2,1055
0.2,1127
0.2,1119
0.2,961
0.2,928
0.2,644
0.2,1350
0.2,1122
0.2,944
0.2,1148
0.2,919
0.2,948
0.2,603
0.2,1173
0.2,984
0.2,893
0.2,896
0.2,1328
0.2,1402
0.2,1475
0.2,1692
0.2,944
0.2,1510
0.2,1177
0.2,1331
0.2,914
0.2,986
0.2,897
0.2,1282
0.2,1140
0.2,1532
0.2,1450
0.2,1417
0.2,1468
0.2,1655
0.2,1194
0.2,853
0.2,1165
0.2,1542
0.2,1066
0.2,1229
0.2,1225
0.2,1063
0.2,1096
0.2,1046
0.2,908
0.2,801
0.2,1652
0.2,1304
0.2,1317
0.2,1199
0.2,1065
0.2,1537
0.2,744
0.2,683
0.2,1148
0.2,847
0.2,1569
0.2,892
0.2,925
0.2,1379
0.2,1237
0.2,1046
0.2,842
0.2,1234
0.2,1344
0.2,1035
0.2,973
0.2,1294
0.2,923
0.2,1128
0.2,946
0.2,818
0.2,1534
0.2,950
0.2,1657
0.2,992
0.2,1160
0.2,1363
0.2,910
0.2,1044
0.2,1123
0.2,814
0.2,849
0.2,808
0.2,1652
0.2,777
0.2,1438
0.2,697
0.2,1080
0.2,1457
0.2,1033
0.2,1709
0.2,1190
0.2,941
0.2,816
0.2,1397
0.2,973
