1,9,"[14, 8, 18, 9, 16, 13, 8, 9, 21]"
2,9,"[7, 15, 8, 20, 12, 14, 13, 16, 11]"
3,7,"[12, 25, 16, 14, 20, 13, 18]"
4,6,"[11, 17, 23, 24, 24, 20]"
5,8,"[9, 16, 15, 7, 24, 7, 25, 14]"
6,9,"[16, 21, 11, 14, 9, 16, 6, 15, 8]"
7,6,"[12, 11, 28, 45, 17, 6]"
8,6,"[25, 31, 17, 20, 18, 8]"
9,8,"[15, 15, 17, 10, 7, 25, 16, 12]"
10,9,"[16, 16, 8, 26, 13, 12, 8, 10, 7]"
11,8,"[11, 24, 20, 7, 21, 13, 14, 7]"
12,9,"[10, 23, 18, 13, 13, 18, 7, 8, 6]"
13,9,"[23, 3, 13, 6, 15, 15, 19, 14, 8]"
14,8,"[20, 20, 17, 8, 13, 13, 8, 18]"
15,8,"[11, 14, 21, 22, 10, 17, 14, 8]"
16,7,"[9, 23, 18, 34, 8, 17, 8]"
17,6,"[29, 24, 26, 25, 7, 8]"
18,8,"[15, 13, 29, 22, 17, 9, 7, 5]"
19,5,"[26, 19, 32, 27, 16]"
20,7,"[30, 19, 7, 14, 17, 18, 12]"
21,7,"[19, 23, 12, 17, 11, 26, 9]"
22,8,"[19, 17, 17, 13, 14, 17, 7, 13]"
23,8,"[30, 14, 11, 14, 15, 13, 7, 13]"
24,7,"[17, 22, 25, 14, 18, 13, 9]"
25,6,"[32, 23, 12, 30, 12, 10]"
26,7,"[22, 18, 22, 21, 8, 16, 11]"
27,7,"[40, 17, 14, 12, 17, 7, 11]"
28,7,"[19, 8, 19, 22, 17, 15, 18]"
29,9,"[7, 13, 7, 21, 15, 22, 8, 10, 13]"
30,6,"[18, 21, 17, 25, 30, 8]"
31,7,"[8, 16, 21, 24, 21, 15, 13]"
32,6,"[14, 41, 24, 20, 6, 14]"
33,7,"[24, 16, 17, 11, 17, 17, 16]"
34,5,"[20, 16, 28, 34, 22]"
35,7,"[21, 32, 12, 12, 18, 16, 7]"
36,8,"[6, 20, 17, 17, 24, 10, 15, 8]"
