1,11,"[5, 3, 5, 6, 17, 8, 6, 12, 17, 15, 20]"
2,9,"[6, 12, 15, 10, 14, 5, 21, 11, 22]"
3,10,"[3, 9, 12, 6, 16, 10, 25, 6, 17, 11]"
4,9,"[5, 15, 20, 16, 16, 6, 10, 9, 19]"
5,8,"[18, 10, 13, 18, 19, 15, 18, 6]"
6,9,"[14, 8, 13, 18, 5, 17, 17, 20, 4]"
7,10,"[14, 15, 16, 13, 12, 18, 5, 6, 2, 14]"
8,8,"[20, 14, 9, 19, 21, 23, 6, 5]"
9,7,"[26, 13, 16, 17, 16, 19, 10]"
10,8,"[12, 23, 18, 17, 19, 18, 6, 4]"
11,8,"[15, 12, 6, 20, 25, 26, 10, 3]"
12,6,"[16, 22, 20, 24, 26, 10]"
13,8,"[15, 17, 27, 15, 23, 6, 9, 5]"
14,9,"[15, 18, 17, 24, 6, 7, 9, 7, 13]"
15,8,"[17, 18, 12, 24, 21, 11, 4, 10]"
16,9,"[15, 31, 14, 9, 4, 12, 13, 15, 3]"
17,8,"[19, 22, 21, 11, 12, 6, 14, 12]"
18,7,"[20, 15, 25, 24, 16, 12, 6]"
19,9,"[21, 10, 20, 13, 11, 4, 20, 3, 13]"
20,8,"[27, 14, 9, 12, 5, 18, 14, 17]"
21,7,"[23, 29, 6, 14, 18, 14, 14]"
22,8,"[23, 20, 11, 5, 16, 8, 16, 17]"
23,8,"[22, 7, 18, 9, 9, 23, 14, 14]"
24,8,"[34, 9, 16, 14, 11, 5, 18, 9]"
25,9,"[9, 9, 10, 18, 23, 12, 13, 16, 6]"
26,8,"[28, 17, 23, 5, 7, 12, 19, 6]"
27,10,"[20, 7, 4, 14, 22, 3, 14, 13, 14, 4]"
28,8,"[17, 22, 21, 10, 4, 22, 14, 7]"
29,10,"[7, 18, 5, 6, 21, 9, 12, 16, 7, 14]"
30,7,"[11, 23, 14, 18, 15, 18, 19]"
31,7,"[26, 22, 22, 21, 7, 14, 6]"
32,11,"[8, 7, 5, 4, 16, 21, 6, 16, 14, 14, 3]"
