100.0,77.0,0.0043662050402955436,0.23,12
82.0,98.0,0.5030617819874242,0.21,10
98.0,0.0,0.008086295200282282,0.22,12
96.0,39.0,0.09809344913541433,0.07,6
80.0,0.0,0.0005479187996278133,0.32,12
99.0,27.0,0.0004404758326637377,0.33,12
97.0,100.0,0.006754078960289152,0.27,12
97.0,42.0,6.207773997762341e-06,0.58,4
92.0,2.0,0.0015428878053339032,0.23,12
99.0,6.0,0.001914423039642657,0.22,12
97.0,39.0,0.0012454354833873566,0.38,11
100.0,49.0,0.0020622706436544897,0.58,12
100.0,91.0,0.00492866494199705,0.27,12
100.0,75.0,0.004805701345340953,0.31,12
96.0,100.0,0.006634124271999578,0.23,12
100.0,95.0,0.007656897538965601,0.13,12
100.0,90.0,0.001378444845314115,0.12,11
97.0,41.0,0.0033482167390422616,0.8,12
98.0,96.0,0.003276167270645616,0.21,12
100.0,97.0,0.005560370410261444,0.29,12
78.0,33.0,0.16818613636411026,0.57,6
100.0,69.0,1.5647693338672968e-05,0.3,9
87.0,23.0,0.5586626708964724,0.45,6
91.0,97.0,0.00018881428830661538,0.34,12
91.0,47.0,0.00010221121508528495,0.68,5
100.0,58.0,0.0020179639803512344,0.54,12
98.0,20.0,0.00422821968865612,0.37,12
97.0,77.0,0.40320389464439127,0.02,10
98.0,99.0,0.00010515561996325638,0.23,5
91.0,34.0,0.00014309183137933184,0.61,5
99.0,20.0,5.128408335305202e-05,0.25,9
96.0,55.0,7.736088671719154e-05,0.96,9
83.0,88.0,9.74303053319058e-05,0.21,5
93.0,99.0,0.006879105326328389,0.37,12
100.0,40.0,2.6576926338918222e-05,0.57,9
99.0,100.0,0.009617955923602203,0.43,12
92.0,96.0,0.0007509665263062131,0.16,12
100.0,18.0,0.005195722626994753,0.43,12
99.0,95.0,0.004317249993629232,0.19,12
90.0,0.0,0.007010261943948971,0.19,12
100.0,69.0,0.00020349798034976398,0.16,11
99.0,4.0,0.00478256429557103,0.42,12
97.0,42.0,0.005395040071376049,0.42,12
100.0,5.0,0.005511186957983598,0.15,12
100.0,84.0,0.004071428350313871,0.24,12
81.0,19.0,0.12583011506710995,0.56,10
98.0,6.0,0.003017863538974705,0.22,12
95.0,4.0,0.0028129104752976845,0.39,12
97.0,5.0,0.0038006651936530658,0.3,12
66.0,0.0,0.00018304765193344447,0.36,11
