33.0,15.0,2.9943863679999936,0.23,9.0,44.0
68.0,89.0,2.994710915999995,0.23,10.0,96.0
72.0,34.0,2.994227231999991,0.27,13.0,12.0

0.0,3.0,2.993161294693662,0.22,12.0,113.0
8.0,84.0,2.9920731386936614,0.24,16.0,94.0
31.0,30.0,2.9942367359999915,0.26,19.0,111.0
59.0,84.0,2.9943590919999936,0.24,2.0,57.0
62.0,42.0,2.993624775999991,0.28,15.0,115.0

1.0,10.0,2.9927543086936614,0.21,10.0,68.0
22.0,99.0,2.9895646969936593,0.25,17.0,69.0
28.0,55.0,2.9934709839999916,0.29,18.0,53.0
51.0,12.0,2.993665579999994,0.23,19.0,125.0
79.0,65.0,2.9939530539999932,0.29,17.0,95.0
89.0,11.0,2.969853590565662,0.21,19.0,101.0

0.0,3.0,2.991179913387327,0.2,12.0,113.0
2.0,51.0,2.993700699999993,0.28,12.0,71.0
38.0,75.0,2.985831020321655,0.3,12.0,83.0
46.0,49.0,2.992850581999988,0.3,15.0,108.0
69.0,39.0,2.993031131999987,0.3,11.0,49.0

0.0,44.0,2.9915794646936575,0.31,12.0,82.0
0.0,91.0,2.991391244693661,0.27,6.0,110.0
7.0,0.0,2.991703398693662,0.21,4.0,60.0
36.0,55.0,2.992577511999988,0.31,1.0,116.0
53.0,91.0,2.993312307999992,0.29,4.0,124.0
66.0,52.0,2.9926751079999874,0.33,19.0,4.0

24.0,93.0,2.9877666686936575,0.24,5.0,30.0
28.0,55.0,2.9926495759999896,0.32,6.0,50.0
33.0,10.0,2.987349336401657,0.26,12.0,73.0
61.0,53.0,2.992343373999989,0.34,6.0,56.0
71.0,81.0,2.9933236639999916,0.28,17.0,14.0

0.0,44.0,2.988988971387322,0.31,12.0,82.0
0.0,93.0,2.9893527793873265,0.25,4.0,76.0
29.0,9.0,2.9840334883256565,0.27,10.0,6.0
42.0,30.0,2.992328671999987,0.29,11.0,10.0
54.0,54.0,2.9915958639999864,0.35,13.0,122.0
69.0,57.0,2.9923870399999895,0.35,10.0,62.0

1.0,10.0,2.9892391133873253,0.22,10.0,68.0
2.0,51.0,2.9895153586936565,0.28,12.0,71.0
8.0,84.0,2.9874643253873243,0.24,16.0,94.0
59.0,71.0,2.992071793999988,0.32,19.0,109.0
74.0,22.0,2.972568569493654,0.24,19.0,75.0

6.0,1.0,2.986372467387326,0.23,12.0,112.0
22.0,100.0,2.98667303418166,0.23,17.0,31.0
37.0,59.0,2.9915934159999873,0.33,2.0,33.0
45.0,70.0,2.9911499259999874,0.35,6.0,93.0
76.0,34.0,2.9920742399999893,0.33,16.0,38.0

4.0,37.0,2.9865861766936543,0.3,18.0,43.0
6.0,78.0,2.9891454706936575,0.22,17.0,23.0
35.0,77.0,2.9825424126616538,0.34,12.0,66.0
84.0,45.0,2.9913240559999887,0.38,4.0,13.0

0.0,93.0,2.9865861800809905,0.21,4.0,76.0
36.0,58.0,2.9910482519999877,0.35,10.0,51.0
41.0,16.0,2.9914285459999856,0.25,11.0,85.0
47.0,63.0,2.9897560619999837,0.35,17.0,58.0
62.0,4.0,2.9768730234936585,0.29,13.0,91.0

0.0,44.0,2.984797704080985,0.34,12.0,82.0
7.0,0.0,2.986347641387326,0.26,4.0,60.0
