1,10,"[7, 5, 4, 7, 10, 6, 17, 18, 22, 19]"
2,9,"[2, 9, 14, 9, 10, 14, 15, 15, 28]"
3,10,"[7, 7, 18, 19, 10, 3, 6, 12, 15, 18]"
4,8,"[7, 18, 13, 13, 13, 14, 11, 28]"
5,8,"[17, 6, 26, 10, 12, 32, 12, 2]"
6,9,"[12, 9, 10, 11, 5, 12, 12, 19, 26]"
7,8,"[3, 11, 17, 20, 24, 10, 17, 15]"
8,9,"[14, 12, 18, 13, 18, 13, 21, 3, 4]"
9,7,"[25, 14, 18, 16, 15, 25, 5]"
10,10,"[16, 12, 12, 16, 13, 10, 19, 4, 5, 8]"
11,9,"[18, 24, 20, 15, 24, 5, 3, 5, 2]"
12,7,"[20, 33, 16, 29, 7, 9, 3]"
13,7,"[21, 15, 22, 20, 22, 10, 8]"
14,8,"[23, 26, 22, 9, 8, 10, 15, 4]"
15,9,"[24, 16, 19, 25, 13, 5, 4, 3, 7]"
16,8,"[21, 29, 24, 6, 14, 11, 7, 5]"
17,9,"[23, 15, 17, 20, 7, 10, 10, 6, 8]"
18,7,"[32, 27, 7, 17, 17, 12, 5]"
19,9,"[27, 20, 21, 11, 4, 6, 15, 5, 7]"
20,9,"[28, 22, 11, 10, 16, 17, 5, 5, 2]"
21,10,"[15, 20, 12, 5, 12, 14, 9, 18, 3, 7]"
22,9,"[25, 17, 10, 6, 16, 17, 8, 2, 15]"
23,9,"[23, 20, 13, 7, 14, 11, 14, 11, 3]"
24,9,"[27, 15, 14, 15, 5, 17, 14, 6, 3]"
25,8,"[26, 20, 20, 11, 10, 10, 17, 3]"
26,11,"[14, 14, 17, 12, 12, 16, 14, 5, 4, 4, 2]"
27,10,"[11, 5, 12, 15, 19, 8, 18, 17, 3, 7]"
28,9,"[13, 16, 9, 23, 16, 11, 7, 15, 6]"
29,11,"[10, 10, 17, 18, 6, 14, 6, 18, 7, 6, 2]"
30,9,"[18, 16, 15, 15, 12, 10, 14, 5, 11]"
