1,11,"[9, 3, 4, 7, 10, 5, 17, 13, 13, 16, 16]"
2,10,"[15, 6, 7, 6, 15, 9, 19, 15, 9, 14]"
3,9,"[3, 24, 7, 21, 13, 9, 12, 12, 15]"
4,10,"[7, 14, 19, 18, 9, 14, 11, 14, 3, 5]"
5,9,"[9, 12, 7, 7, 14, 14, 8, 22, 23]"
6,10,"[7, 12, 7, 14, 14, 16, 14, 13, 12, 6]"
7,8,"[8, 13, 12, 14, 14, 13, 23, 20]"
8,8,"[14, 16, 18, 15, 17, 22, 10, 5]"
9,11,"[9, 6, 12, 16, 11, 8, 12, 16, 16, 3, 5]"
10,9,"[12, 12, 14, 20, 11, 16, 17, 12, 2]"
11,9,"[14, 17, 14, 21, 17, 17, 0, 12, 4]"
12,9,"[20, 22, 18, 20, 8, 8, 7, 2, 11]"
13,9,"[16, 26, 20, 14, 10, 8, 4, 6, 11]"
14,10,"[13, 18, 19, 7, 17, 11, 6, 12, 2, 10]"
15,9,"[21, 24, 16, 8, 14, 9, 9, 12, 3]"
16,10,"[16, 16, 19, 15, 8, 6, 5, 11, 8, 11]"
17,8,"[18, 14, 26, 8, 6, 21, 6, 18]"
18,10,"[18, 17, 9, 22, 7, 15, 4, 11, 6, 6]"
19,9,"[20, 25, 14, 16, 9, 8, 12, 12, 0]"
20,8,"[17, 28, 9, 6, 14, 14, 13, 16]"
21,8,"[16, 7, 11, 20, 19, 9, 12, 22]"
22,8,"[27, 13, 6, 17, 7, 17, 14, 15]"
23,10,"[20, 14, 6, 11, 5, 18, 3, 22, 10, 6]"
24,8,"[21, 10, 17, 11, 9, 19, 16, 14]"
25,8,"[12, 16, 19, 25, 5, 10, 21, 9]"
26,10,"[5, 7, 13, 11, 18, 18, 13, 12, 13, 5]"
27,8,"[19, 19, 19, 9, 21, 2, 12, 16]"
28,8,"[9, 11, 14, 21, 16, 17, 21, 8]"
29,10,"[18, 10, 18, 15, 4, 19, 2, 11, 12, 6]"
30,8,"[16, 21, 6, 16, 14, 26, 3, 15]"
31,9,"[8, 14, 18, 12, 7, 26, 19, 3, 9]"
32,10,"[8, 13, 18, 19, 8, 7, 22, 9, 11, 0]"
33,8,"[21, 9, 18, 16, 20, 6, 15, 12]"
34,9,"[22, 9, 16, 15, 9, 7, 20, 12, 6]"
35,8,"[19, 21, 13, 24, 5, 12, 10, 13]"
36,10,"[13, 12, 11, 18, 11, 18, 6, 13, 13, 0]"
37,7,"[10, 20, 14, 16, 32, 3, 22]"
38,8,"[13, 19, 15, 9, 8, 12, 27, 13]"
39,8,"[8, 12, 12, 30, 22, 16, 11, 6]"
40,8,"[22, 13, 9, 7, 22, 12, 14, 17]"
41,8,"[10, 29, 22, 6, 16, 3, 21, 10]"
42,9,"[6, 19, 22, 12, 6, 9, 17, 14, 10]"
43,9,"[14, 14, 20, 16, 9, 14, 15, 6, 8]"
44,10,"[10, 22, 10, 7, 16, 8, 11, 11, 11, 9]"
45,8,"[10, 15, 18, 9, 17, 4, 32, 11]"
46,8,"[16, 14, 13, 14, 17, 15, 14, 14]"
47,9,"[6, 9, 22, 21, 16, 5, 20, 12, 5]"
48,7,"[11, 15, 23, 23, 7, 25, 14]"
49,8,"[25, 14, 14, 13, 14, 15, 10, 12]"
50,8,"[7, 15, 18, 18, 14, 21, 12, 12]"
51,9,"[7, 18, 17, 4, 13, 19, 11, 19, 8]"
52,9,"[17, 13, 6, 16, 14, 9, 19, 17, 5]"
53,10,"[10, 9, 14, 21, 14, 11, 14, 12, 10, 0]"
54,7,"[17, 19, 28, 11, 17, 16, 10]"
1,11,"[4, 9, 8, 8, 11, 9, 8, 12, 13, 13, 18]"
2,11,"[14, 5, 7, 15, 13, 15, 7, 19, 7, 0, 12]"
3,8,"[13, 19, 14, 12, 12, 15, 22, 10]"
4,10,"[14, 9, 11, 6, 11, 19, 13, 17, 10, 5]"
5,10,"[8, 13, 7, 17, 13, 9, 15, 15, 10, 8]"
6,9,"[4, 16, 9, 9, 12, 22, 16, 18, 10]"
7,8,"[10, 11, 22, 17, 16, 21, 15, 5]"
8,9,"[12, 18, 15, 7, 19, 18, 7, 12, 8]"
9,8,"[10, 18, 13, 23, 15, 24, 10, 4]"
10,7,"[15, 18, 24, 22, 14, 20, 5]"
11,8,"[12, 15, 16, 19, 18, 18, 6, 13]"
12,8,"[17, 10, 21, 18, 13, 19, 15, 4]"
13,9,"[14, 14, 18, 14, 21, 14, 6, 8, 6]"
14,8,"[18, 18, 24, 10, 14, 10, 7, 16]"
15,9,"[22, 19, 26, 6, 12, 6, 11, 9, 5]"
16,8,"[26, 16, 24, 8, 13, 12, 13, 5]"
17,9,"[15, 21, 20, 16, 12, 9, 9, 9, 5]"
18,9,"[19, 17, 10, 11, 11, 11, 20, 12, 5]"
19,8,"[22, 15, 16, 17, 8, 8, 16, 15]"
20,7,"[19, 27, 15, 16, 14, 16, 11]"
21,8,"[22, 25, 11, 10, 11, 8, 17, 12]"
